name	acc	count
1.10.12.10/FF/748	1.10.12.10/FF/748	20
1.10.1200.10/FF/15392	1.10.1200.10/FF/15392	2
1.10.1200.10/FF/23478	1.10.1200.10/FF/23478	2
1.10.1200.60/FF/271	1.10.1200.60/FF/271	2
1.10.1420.10/FF/1039	1.10.1420.10/FF/1039	4
1.10.1420.10/FF/1138	1.10.1420.10/FF/1138	6
1.10.1420.10/FF/1348	1.10.1420.10/FF/1348	11
1.10.1420.10/FF/138	1.10.1420.10/FF/138	6
1.10.1420.10/FF/1577	1.10.1420.10/FF/1577	6
1.10.1420.10/FF/1612	1.10.1420.10/FF/1612	6
1.10.1420.10/FF/2597	1.10.1420.10/FF/2597	6
1.10.1420.10/FF/2760	1.10.1420.10/FF/2760	6
1.10.1420.10/FF/2865	1.10.1420.10/FF/2865	6
1.10.1420.10/FF/292	1.10.1420.10/FF/292	11
1.10.1420.10/FF/4746	1.10.1420.10/FF/4746	6
1.10.1420.10/FF/4864	1.10.1420.10/FF/4864	11
1.10.1420.10/FF/4869	1.10.1420.10/FF/4869	6
1.10.1420.10/FF/5260	1.10.1420.10/FF/5260	22
1.10.1420.10/FF/5294	1.10.1420.10/FF/5294	18
1.10.1420.10/FF/5372	1.10.1420.10/FF/5372	21
1.10.1420.10/FF/5374	1.10.1420.10/FF/5374	6
1.10.1420.10/FF/5385	1.10.1420.10/FF/5385	6
1.10.1420.10/FF/5388	1.10.1420.10/FF/5388	6
1.10.1420.10/FF/5401	1.10.1420.10/FF/5401	12
1.10.1420.10/FF/5410	1.10.1420.10/FF/5410	6
1.10.1420.10/FF/5423	1.10.1420.10/FF/5423	6
1.10.1420.10/FF/5438	1.10.1420.10/FF/5438	6
1.10.1420.10/FF/5441	1.10.1420.10/FF/5441	6
1.10.1420.10/FF/713	1.10.1420.10/FF/713	12
1.10.1420.10/FF/85	1.10.1420.10/FF/85	11
1.10.150.20/FF/15964	1.10.150.20/FF/15964	1
1.10.150.20/FF/16591	1.10.150.20/FF/16591	1
1.10.150.20/FF/23239	1.10.150.20/FF/23239	4
1.10.150.20/FF/24856	1.10.150.20/FF/24856	10
1.10.150.20/FF/25387	1.10.150.20/FF/25387	11
1.10.150.20/FF/25445	1.10.150.20/FF/25445	10
1.10.150.20/FF/25467	1.10.150.20/FF/25467	8
1.10.150.20/FF/25530	1.10.150.20/FF/25530	10
1.10.150.20/FF/25829	1.10.150.20/FF/25829	5
1.10.150.20/FF/25881	1.10.150.20/FF/25881	15
1.10.150.20/FF/26327	1.10.150.20/FF/26327	1
1.10.150.20/FF/26350	1.10.150.20/FF/26350	16
1.10.150.20/FF/26494	1.10.150.20/FF/26494	2
1.10.150.20/FF/26542	1.10.150.20/FF/26542	1
1.10.150.20/FF/27088	1.10.150.20/FF/27088	11
1.10.150.20/FF/27139	1.10.150.20/FF/27139	1
1.10.150.20/FF/27145	1.10.150.20/FF/27145	15
1.10.150.20/FF/27158	1.10.150.20/FF/27158	13
1.10.150.20/FF/27163	1.10.150.20/FF/27163	11
1.10.150.20/FF/27164	1.10.150.20/FF/27164	7
1.10.150.20/FF/27221	1.10.150.20/FF/27221	6
1.10.150.20/FF/27227	1.10.150.20/FF/27227	11
1.10.150.20/FF/27233	1.10.150.20/FF/27233	17
1.10.150.20/FF/27241	1.10.150.20/FF/27241	14
1.10.150.20/FF/27260	1.10.150.20/FF/27260	10
1.10.150.20/FF/27263	1.10.150.20/FF/27263	2
1.10.150.20/FF/27322	1.10.150.20/FF/27322	2
1.10.150.20/FF/27356	1.10.150.20/FF/27356	2
1.10.150.20/FF/9586	1.10.150.20/FF/9586	12
1.10.150.240/FF/4856	1.10.150.240/FF/4856	8
1.10.150.240/FF/7258	1.10.150.240/FF/7258	1
1.10.150.240/FF/7281	1.10.150.240/FF/7281	1
1.10.150.280/FF/1913	1.10.150.280/FF/1913	2
1.10.150.310/FF/979	1.10.150.310/FF/979	2
1.10.150.50/FF/111	1.10.150.50/FF/111	13
1.10.150.50/FF/1170	1.10.150.50/FF/1170	6
1.10.150.50/FF/1293	1.10.150.50/FF/1293	41
1.10.150.50/FF/1319	1.10.150.50/FF/1319	12
1.10.150.50/FF/1682	1.10.150.50/FF/1682	9
1.10.150.50/FF/1714	1.10.150.50/FF/1714	17
1.10.150.50/FF/2291	1.10.150.50/FF/2291	26
1.10.150.50/FF/238	1.10.150.50/FF/238	15
1.10.150.50/FF/239	1.10.150.50/FF/239	7
1.10.150.50/FF/2999	1.10.150.50/FF/2999	1
1.10.150.50/FF/32	1.10.150.50/FF/32	39
1.10.150.50/FF/347	1.10.150.50/FF/347	37
1.10.150.50/FF/4747	1.10.150.50/FF/4747	5
1.10.150.50/FF/4760	1.10.150.50/FF/4760	37
1.10.150.50/FF/4776	1.10.150.50/FF/4776	12
1.10.150.50/FF/4804	1.10.150.50/FF/4804	1
1.10.150.50/FF/4805	1.10.150.50/FF/4805	37
1.10.150.50/FF/4809	1.10.150.50/FF/4809	7
1.10.150.50/FF/4819	1.10.150.50/FF/4819	14
1.10.150.50/FF/4850	1.10.150.50/FF/4850	54
1.10.150.50/FF/4866	1.10.150.50/FF/4866	42
1.10.150.50/FF/4868	1.10.150.50/FF/4868	14
1.10.150.50/FF/4869	1.10.150.50/FF/4869	22
1.10.150.50/FF/4905	1.10.150.50/FF/4905	2
1.10.150.50/FF/4936	1.10.150.50/FF/4936	36
1.10.150.50/FF/4937	1.10.150.50/FF/4937	3
1.10.150.50/FF/4939	1.10.150.50/FF/4939	7
1.10.150.50/FF/495	1.10.150.50/FF/495	39
