name	frequency
PTHR18034.orig.30.pir:-	26.0
PTHR12549.orig.30.pir:-	26.0
ELM2:PF01448.24	26.0
DUF1086:PF06461.11	26.0
APOBEC_N:PF08210.11	26.0
SNAD4:PF18750.1	25.0
BTB:PF00651.31	24.0
PTHR43688.orig.30.pir:-	23.0
PTHR22427.orig.30.pir:-	22.0
HMG14_17:PF01101.18	21.0
WHIM1:PF15612.6	20.0
RRM_7:PF16367.5	20.0
PTHR48194.orig.30.pir:-	20.0
PTHR47968.orig.30.pir:-	20.0
PTHR47805.orig.30.pir:-	20.0
PTHR47420.orig.30.pir:-	20.0
PTHR47237.orig.30.pir:-	20.0
PTHR47095.orig.30.pir:-	20.0
PTHR46674.orig.30.pir:-	20.0
PTHR46400.orig.30.pir:-	20.0
PTHR45819.orig.30.pir:-	20.0
PTHR45789.orig.30.pir:-	20.0
PTHR24128.orig.30.pir:-	20.0
PTHR23210.orig.30.pir:-	20.0
PTHR23145.orig.30.pir:-	20.0
PTHR22747.orig.30.pir:-	20.0
PTHR22744.orig.30.pir:-	20.0
PTHR21358.orig.30.pir:-	20.0
PTHR15544.orig.30.pir:-	20.0
PTHR15439.orig.30.pir:-	20.0
PTHR15094.orig.30.pir:-	20.0
PTHR14947.orig.30.pir:-	20.0
PTHR14089.orig.30.pir:-	20.0
PTHR10996.orig.30.pir:-	20.0
PTHR10315.orig.30.pir:-	20.0
FHA:PF00498.26	20.0
zf-H2C2_5:PF13909.6	19.0
RRM_occluded:PF16842.5	19.0
RRM_5:PF13893.6	19.0
PTHR47963.orig.30.pir:-	19.0
PTHR46455.orig.30.pir:-	19.0
PTHR46254.orig.30.pir:-	19.0
PTHR45972.orig.30.pir:-	19.0
PTHR45843.orig.30.pir:-	19.0
PTHR45764.orig.30.pir:-	19.0
PTHR45614.orig.30.pir:-	19.0
PTHR44042.orig.30.pir:-	19.0
PTHR42791.orig.30.pir:-	19.0
PTHR31164.orig.30.pir:-	19.0
PTHR24216.orig.30.pir:-	19.0
PTHR23280.orig.30.pir:-	19.0
PTHR23238.orig.30.pir:-	19.0
PTHR23043.orig.30.pir:-	19.0
PTHR22948.orig.30.pir:-	19.0
PTHR21677.orig.30.pir:-	19.0
PTHR21652.orig.30.pir:-	19.0
PTHR15116.orig.30.pir:-	19.0
PTHR14625.orig.30.pir:-	19.0
PTHR14609.orig.30.pir:-	19.0
PTHR12420.orig.30.pir:-	19.0
PTHR10829.orig.30.pir:-	19.0
GCN5L1:PF06320.13	19.0
PTHR23042.orig.30.pir:-	18.0
PTHR11941.orig.30.pir:-	17.0
PTHR12693.orig.30.pir:-	16.0
PTHR24006.orig.30.pir:-	15.0
PTHR23068.orig.30.pir:-	14.0
bZIP_Maf:PF03131.17	13.0
PTHR46162.orig.30.pir:-	12.0
NCOA_u2:PF16665.5	11.0
ubiquitin:PF00240.23	10.0
FYRC:PF05965.14	9.0
HECT:PF00632.25	8.0
PTHR11361.orig.30.pir:-	7.0
CDC73_N:PF16050.5	6.0
PTHR10925.orig.30.pir:-	5.0
DUF3591:PF12157.8	4.0
PTHR47055.orig.30.pir:-	3.0
PTHR11539.orig.30.pir:-	2.0
PTHR46880.orig.30.pir:-	1.0
